team1,team2,winner,venue,city,date,toss_winner
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-09,Rajasthan Royals
Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,Nehru Stadium,Kochi,2011-04-09,Kochi Tuskers Kerala
Delhi Daredevils,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi,2011-04-10,Delhi Daredevils
Pune Warriors,Kings XI Punjab,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,2011-04-10,Kings XI Punjab
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-04-11,Kolkata Knight Riders
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-04-12,Delhi Daredevils
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2011-04-12,Mumbai Indians
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-04-13,Kings XI Punjab
Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,2011-04-13,Kochi Tuskers Kerala
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-14,Royal Challengers Bangalore
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,2011-04-15,Kolkata Knight Riders
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Wankhede Stadium,Mumbai,2011-04-15,Kochi Tuskers Kerala
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-04-16,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-16,Kings XI Punjab
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Dr DY Patil Sports Academy,Mumbai,2011-04-17,Delhi Daredevils
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-04-17,Kolkata Knight Riders
Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,Nehru Stadium,Kochi,2011-04-18,Kochi Tuskers Kerala
Delhi Daredevils,Deccan Chargers,Deccan Chargers,Feroz Shah Kotla,Delhi,2011-04-19,Deccan Chargers
Mumbai Indians,Pune Warriors,Mumbai Indians,Wankhede Stadium,Mumbai,2011-04-20,Pune Warriors
Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Eden Gardens,Kolkata,2011-04-20,Kolkata Knight Riders
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2011-04-21,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2011-04-22,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Eden Gardens,Kolkata,2011-04-22,Royal Challengers Bangalore
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,2011-04-23,Kings XI Punjab
Deccan Chargers,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2011-04-24,Deccan Chargers
Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-04-24,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2011-04-25,Pune Warriors
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,2011-04-26,Royal Challengers Bangalore
Pune Warriors,Chennai Super Kings,Chennai Super Kings,Dr DY Patil Sports Academy,Mumbai,2011-04-27,Pune Warriors
Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,Nehru Stadium,Kochi,2011-04-27,Kochi Tuskers Kerala
Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2011-04-28,Delhi Daredevils
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-04-29,Rajasthan Royals
Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2011-04-29,Pune Warriors
Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,Nehru Stadium,Kochi,2011-04-30,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2011-04-30,Kolkata Knight Riders
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2011-05-01,Rajasthan Royals
